idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job
12,1,1,0,48,2,4308,1,1,24,0,0,2
13,0,1,1,12,2,1567,2,1,22,1,0,2
15,0,1,0,15,2,1403,2,1,28,0,0,2
16,1,1,0,24,2,1282,2,1,32,1,0,1
19,1,1,1,24,2,12579,4,1,44,2,0,3
28,0,1,2,12,1,409,2,1,42,0,0,2
35,0,1,2,12,2,1474,1,1,33,1,0,3
45,1,1,0,48,4,6143,4,1,58,2,0,1
46,0,1,3,11,4,1393,1,1,35,1,0,3
48,0,1,0,6,2,1352,0,1,23,0,0,0
50,0,1,3,12,2,2073,2,1,28,1,0,2
58,0,1,3,36,4,9566,2,1,31,1,0,2
59,0,1,2,18,2,1961,4,1,23,1,0,3
60,1,1,0,36,4,6229,1,1,23,0,0,1
65,0,1,3,24,2,3181,1,1,26,1,0,2
67,0,1,3,12,2,2171,1,1,29,1,0,2
70,0,1,3,36,2,2394,2,1,25,1,0,2
71,0,1,3,36,2,8133,2,1,30,1,0,2
74,0,1,1,42,4,5954,3,1,41,1,0,1
81,1,1,3,24,2,5943,1,1,44,1,0,2
83,0,1,3,18,2,1568,2,1,24,0,0,1
84,0,1,0,24,2,1755,4,1,58,1,0,1
86,0,1,3,12,4,1412,2,1,29,1,0,3
87,0,1,1,18,4,1295,1,1,27,1,0,2
93,1,1,3,12,4,797,4,1,33,1,0,1
97,0,1,3,12,4,2012,3,1,61,1,0,2
103,0,1,3,6,3,932,2,1,24,1,0,2
109,0,1,0,24,2,7721,1,1,30,1,1,2
112,0,1,2,15,2,392,1,1,23,0,0,2
114,1,1,3,36,4,7855,2,1,25,1,0,2
117,1,1,0,42,2,7174,3,1,30,1,0,3
118,0,1,0,10,4,2132,1,1,27,0,1,2
119,1,1,0,33,4,4281,2,1,23,1,0,2
121,1,1,0,21,2,1835,2,1,25,1,0,2
122,0,1,3,24,4,3868,4,1,41,0,0,3
125,1,1,1,18,2,1924,1,1,27,0,0,2
130,1,1,0,12,4,3499,2,1,29,1,0,2
131,0,1,1,48,2,8487,3,1,24,1,0,2
135,0,1,3,60,2,10144,3,1,21,1,0,2
136,0,1,3,12,4,1240,4,1,38,1,0,2
140,0,1,2,12,2,1881,2,1,44,0,0,1
142,0,1,1,36,2,4795,1,1,30,1,0,3
145,0,1,3,21,4,2288,1,1,23,1,0,2
147,0,1,0,6,4,860,4,1,39,1,0,2
148,0,1,3,12,4,682,3,1,51,1,0,2
154,0,1,1,24,4,7758,4,1,29,0,0,2
156,1,1,0,12,2,1282,2,1,20,0,0,2
162,0,1,3,18,4,1055,1,1,30,1,0,2
167,1,1,0,18,2,1131,0,1,33,1,0,2
168,0,1,1,11,2,1577,1,1,20,1,0,2
169,0,1,3,24,2,3972,3,1,25,0,0,2
172,0,1,3,12,2,763,2,1,26,1,0,2
173,1,1,1,24,3,2064,0,1,34,1,0,3
176,1,1,3,30,1,7485,0,1,53,1,0,3
187,1,1,1,9,1,5129,4,1,74,2,0,3
190,0,1,1,18,0,3244,2,1,33,1,0,2
196,1,1,1,9,4,1501,4,1,34,1,0,3
197,0,1,3,6,4,1382,2,1,28,1,0,2
198,1,1,1,12,2,951,1,1,27,0,0,2
212,0,1,3,36,2,3835,4,1,45,1,0,1
216,0,1,1,6,4,932,3,1,39,1,0,1
220,0,1,3,10,2,1364,2,1,64,1,0,2
222,0,1,0,12,2,1200,2,1,23,0,0,2
239,0,1,3,12,4,1291,2,1,35,1,0,2
241,1,1,0,24,2,915,4,1,29,1,0,2
244,0,1,3,12,4,1185,2,1,27,1,0,2
245,0,1,3,12,1,3447,2,1,35,1,0,1
250,1,1,3,18,2,433,0,1,22,0,0,2
251,0,1,0,6,4,666,3,1,39,1,0,1
252,0,1,2,12,2,2251,2,1,46,1,0,1
253,1,1,1,30,2,2150,2,1,24,1,0,2
259,0,1,3,15,2,3812,1,1,23,1,0,2
260,0,1,3,11,4,1154,0,1,57,1,0,1
262,0,1,0,24,2,1603,4,1,55,1,0,2
264,0,1,3,12,4,2748,4,1,57,2,0,1
268,0,1,3,24,2,1533,1,1,38,1,0,2
272,0,1,3,12,4,1402,3,1,37,0,0,2
277,0,1,3,18,4,2404,2,1,26,1,0,2
279,1,1,3,6,2,4611,1,1,32,1,0,2
286,0,1,0,47,2,10722,1,1,35,1,0,1
289,0,1,1,12,2,1092,2,1,49,1,0,2
293,0,1,0,24,4,6419,4,1,44,2,0,3
296,1,1,1,48,2,9960,1,1,26,1,0,2
297,0,1,3,12,2,4675,1,1,20,0,0,2
301,0,1,3,6,2,672,0,1,54,1,0,0
302,1,1,1,36,0,3804,2,1,42,1,0,2
307,0,1,3,30,2,4811,3,1,24,0,0,1
309,1,1,1,8,2,1237,2,1,24,1,0,2
313,0,1,2,24,2,3749,1,1,26,1,0,2
318,0,1,1,24,2,4351,2,1,48,1,0,1
320,0,1,0,15,3,3643,4,1,27,1,0,1
325,0,1,3,18,4,1028,2,1,36,1,0,2
328,0,1,3,24,2,1525,3,1,34,1,0,2
332,1,1,3,18,4,1864,2,1,30,1,0,2
333,1,1,1,60,2,7408,1,1,24,1,0,3
334,1,1,3,48,4,11590,2,1,24,0,0,1
337,0,1,1,13,2,2101,1,1,23,1,0,1
338,1,1,0,15,2,1275,2,1,24,0,0,2
341,0,1,1,24,4,5743,1,1,24,2,0,2
342,0,1,0,21,2,3599,3,1,26,0,0,1
346,0,1,3,15,4,1459,2,1,43,1,0,1
348,0,1,1,24,2,3758,0,1,23,0,0,0
351,0,1,3,9,2,1236,1,1,23,0,0,2
352,1,1,1,9,2,959,2,1,29,1,1,2
360,1,1,0,30,2,2406,3,1,23,0,0,2
363,0,1,2,12,3,2247,2,1,36,1,0,2
368,0,1,0,18,2,3650,1,1,22,0,0,2
370,0,1,1,18,2,3001,3,1,40,0,0,2
373,0,1,3,10,4,2146,1,1,23,0,0,2
375,1,1,1,60,1,14782,4,1,60,2,0,3
376,1,1,0,48,1,7685,3,1,37,0,0,2
380,0,1,3,6,4,362,2,1,52,1,0,1
382,1,1,1,18,2,12976,0,1,38,2,0,3
383,0,1,3,22,2,1283,3,1,25,0,0,2
386,0,1,3,18,4,2238,2,1,25,1,0,2
387,0,1,3,18,2,1126,1,1,21,0,0,2
390,0,1,3,9,2,1449,3,1,27,1,0,2
392,0,1,1,12,2,983,1,1,19,0,0,1
394,0,1,0,6,4,1957,3,1,31,1,0,2
397,0,1,0,12,2,2578,0,1,55,2,0,3
400,0,1,3,24,4,1516,2,1,43,1,0,1
411,0,1,1,24,2,1967,4,1,20,1,0,2
415,1,1,0,24,2,1381,2,1,35,1,0,2
