idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,present_employment_since,marriage,age_in_years,housing,foreign_worker,job,
846,0,0,1,21,2,3976,3,0,35,1,0,2,0.927372693
965,0,0,1,6,2,454,1,3,22,1,0,1,0.681754937
997,0,0,0,30,2,3857,2,2,40,1,0,3,0.840735287
639,0,1,3,12,2,1493,1,1,34,1,0,2,0.133668821
708,1,1,1,12,0,2969,1,1,25,0,0,2,0.459727929
947,1,0,0,24,1,3349,1,0,30,2,0,2,0.330730365
676,0,1,3,30,4,4530,3,1,26,0,0,3,0.319457002
703,0,1,2,24,2,1377,4,1,47,2,0,2,0.918184679
834,0,1,1,24,2,5084,4,1,42,1,0,2,0.193901685
934,0,0,3,12,4,522,4,0,42,1,0,2,0.699711335
712,1,1,0,6,1,1198,4,1,35,2,0,2,0.928937408
634,1,1,3,9,2,1980,1,1,19,0,0,2,0.896196151
709,0,1,1,9,2,1206,4,1,25,1,0,2,0.239046557
978,0,0,1,18,3,2427,4,0,42,1,0,2,0.712390668
933,0,0,3,9,4,1224,2,0,30,1,0,2,0.537357184
818,0,1,3,6,4,1554,3,1,24,0,0,2,0.45319148
982,1,0,3,48,2,4844,0,0,33,0,0,3,0.382472724
803,0,1,0,20,4,4272,4,1,24,1,0,2,0.445512581
698,0,1,3,12,4,926,0,1,38,1,0,0,0.271961498
608,1,1,1,36,2,2671,2,1,50,2,0,2,0.040312645
905,0,0,3,24,2,1278,4,0,36,1,0,3,0.597566201
953,1,1,1,24,2,4113,1,1,28,0,0,2,0.488758467
866,0,1,3,15,2,2221,2,1,20,0,0,2,0.758742097
736,0,1,1,36,1,3990,1,1,29,1,0,0,0.862401458
668,0,1,3,48,1,3609,2,1,27,1,0,2,0.026115967
904,0,0,3,15,2,1386,2,3,40,0,0,2,0.43334553
927,0,1,0,18,4,1049,1,1,21,0,0,2,0.976923219
996,0,1,3,12,2,1736,3,1,31,1,0,1,0.750472621
900,1,0,0,18,2,4153,2,0,42,1,0,2,0.257289257
868,0,0,3,12,4,3331,4,0,42,1,0,2,0.86536886
931,0,0,0,24,2,1747,1,0,24,1,1,1,0.816352416
974,1,0,0,60,2,7297,4,0,36,0,0,2,0.4905542
603,1,1,1,24,1,1837,3,1,34,2,0,1,0.044386157
867,0,1,0,18,2,2389,1,1,27,1,0,2,0.660790027
847,1,0,3,18,2,6761,2,0,68,0,0,2,0.537166158
986,0,1,0,15,4,1433,2,1,25,0,0,2,0.71288767
848,0,0,3,24,2,1249,1,3,28,1,0,2,0.46768196
740,1,1,1,30,0,4280,2,1,26,0,0,1,0.1601987
827,1,1,0,18,4,3966,4,1,33,0,0,2,0.709708479
659,0,1,1,30,0,4221,2,1,28,1,0,2,0.615513442
970,0,0,0,11,4,3939,2,0,40,1,0,1,0.343244309
853,0,0,3,15,4,1471,2,0,35,2,0,2,0.70055899
898,0,1,3,12,4,1592,3,1,35,1,1,2,0.961839194
756,1,1,0,24,2,1285,3,1,32,0,0,2,0.823719278
871,0,1,3,36,3,7678,3,1,40,1,0,2,0.112614286
944,0,0,3,4,4,1455,3,0,42,1,0,1,0.080529962
665,0,1,2,6,4,1047,2,1,50,1,0,1,0.543563966
852,0,0,3,24,4,4042,3,0,43,1,0,2,0.424822926
887,0,0,1,24,4,2825,3,0,34,1,0,2,0.48094332
737,1,1,1,24,2,11560,2,1,23,0,0,3,0.756701693
842,0,0,3,21,3,2993,2,0,28,1,0,1,0.13507185
585,0,1,3,12,2,2133,4,1,52,2,0,3,0.472457113
752,1,1,0,18,2,976,1,1,23,1,0,1,0.207770463
919,1,0,0,24,2,2359,0,2,33,1,0,2,0.101060482
923,1,1,0,9,2,1366,1,1,22,0,0,2,0.606493685
873,0,0,0,24,4,1382,3,0,26,1,0,2,0.362913678
841,1,0,0,36,2,5179,3,0,29,1,0,2,0.974407703
964,1,0,3,24,2,2397,4,0,35,1,0,2,0.255917556
863,1,1,0,24,2,2439,1,1,35,1,0,2,0.8876909
980,1,0,1,15,1,1264,2,3,25,0,0,2,0.11019083
778,0,1,0,18,2,3509,3,1,25,1,0,2,0.97522515
998,0,0,3,12,2,804,4,0,38,1,0,2,0.841687311
942,0,0,3,10,2,1546,2,0,31,1,1,1,0.060501653
591,0,1,0,12,4,385,3,1,58,1,0,1,0.092981521
988,0,1,3,13,2,1409,0,1,64,1,0,2,0.524387355
912,1,1,1,24,4,4736,1,1,25,1,0,1,0.148415255
859,1,1,0,15,2,3959,2,1,29,1,0,2,0.933329568
993,0,0,0,18,2,1936,3,3,23,0,0,1,0.233879025
751,0,1,0,6,2,428,4,1,49,1,0,2,0.470969468
851,1,0,0,20,4,2235,2,3,33,0,1,2,0.490683645
956,0,1,0,24,4,1231,4,1,57,0,0,3,0.825862449
832,1,1,0,18,2,1216,1,1,23,0,0,2,0.402659789
941,0,0,3,12,2,3527,1,0,45,1,0,3,0.773480676
754,0,1,3,30,4,5771,3,1,25,1,0,2,0.081099218
972,0,0,3,24,2,7393,2,0,43,1,0,1,0.523655255
705,0,1,1,27,2,2528,1,1,32,1,0,2,0.340355099
881,0,0,3,24,2,7814,3,0,38,1,0,3,0.141738901
950,1,0,3,24,2,3621,4,0,31,1,0,2,0.230860406
768,0,1,3,10,2,2901,1,1,31,0,0,2,0.400483689
888,1,0,1,48,2,15672,2,0,23,1,0,2,0.839183846
916,1,1,1,48,0,18424,2,1,32,1,1,3,0.434538291
835,1,1,2,15,2,2327,1,1,25,1,0,1,0.673366165
939,1,0,1,60,2,6288,2,0,42,2,0,2,0.602251208
922,0,0,3,48,3,12749,3,0,37,1,0,3,0.059885651
908,0,0,1,36,2,3711,2,3,27,1,0,2,0.312039063
825,0,0,3,18,4,3780,1,2,35,1,0,3,0.642882966
722,1,1,1,6,1,433,1,1,24,0,0,2,0.581051089
992,0,0,3,15,1,1569,4,0,34,1,0,1,0.522444845
906,0,0,0,12,2,1107,2,0,20,0,0,3,0.225934582
884,0,1,3,18,4,1098,0,1,65,1,0,0,0.492285644
910,0,1,1,9,2,3195,2,1,33,1,0,1,0.32376941
920,1,0,0,24,2,3345,4,0,39,0,0,3,0.574664274
855,0,0,3,36,3,10875,4,0,45,1,0,2,0.321144858
952,1,0,0,36,3,2145,3,0,24,1,0,2,0.204617305
838,0,1,3,4,2,601,1,1,23,0,0,1,0.620130961
960,0,0,1,24,2,3069,4,0,30,2,0,2,0.086811086
896,0,0,3,36,3,8947,3,0,31,1,0,3,0.53562707
979,1,0,3,24,3,2538,4,0,47,1,0,1,0.806227461
748,1,1,0,12,2,1274,1,1,37,1,0,1,0.210027326
593,0,1,3,21,2,1572,4,1,36,1,0,1,0.282920902
883,0,0,1,30,4,2181,4,0,36,1,0,2,0.0351713
911,0,1,3,36,3,4454,2,1,34,1,0,2,0.350333839
862,1,0,3,18,3,2169,2,3,28,1,0,2,0.864278191
981,1,0,1,30,4,8386,3,0,49,1,0,2,0.121917192
854,1,0,0,18,1,1442,3,0,32,2,0,1,0.262135932
885,1,0,1,24,2,4057,3,2,43,1,0,2,0.725839606
930,0,0,0,12,3,1344,2,0,43,1,0,1,0.614759525
734,0,1,3,24,2,2603,2,1,28,0,0,2,0.167664747
753,0,1,1,12,2,841,3,1,23,0,0,1,0.426478821
613,0,1,0,21,2,3357,1,1,29,1,0,2,0.82059124
886,1,1,0,12,2,795,1,1,53,1,0,2,0.770155357
946,0,1,1,48,0,8358,1,1,30,1,0,2,0.086535202
880,0,0,3,30,4,6742,3,0,36,1,0,2,0.40724486
967,1,0,1,27,4,2520,2,0,23,1,0,1,0.799580245
897,0,1,0,21,2,2606,1,1,28,0,0,3,0.242373637
861,0,0,3,24,4,5804,2,0,27,1,0,2,0.27833671
728,1,1,0,18,2,1882,2,1,25,0,0,2,0.938867599
844,0,0,3,24,1,1559,3,0,50,1,0,2,0.721169598
612,1,1,2,10,2,1240,4,1,48,2,0,1,0.067765965
856,0,0,3,24,2,1474,1,3,33,1,0,2,0.184089077
903,0,0,3,36,4,10477,4,0,42,2,0,2,0.995378063
902,0,0,3,20,4,3485,1,2,44,1,0,2,0.008828258
991,0,0,3,12,4,3565,1,0,37,1,0,1,0.594484062
791,1,1,1,21,2,1188,4,1,39,1,0,2,0.825751337
924,0,0,1,12,2,2002,3,0,30,0,0,2,0.460770247
889,0,0,3,36,4,6614,4,0,34,1,0,3,0.587383332
995,0,0,3,12,2,2390,4,0,50,1,0,2,0.956445232
680,0,1,3,18,2,1453,1,1,26,1,0,2,0.438632435
839,0,0,0,24,4,2957,4,0,63,1,0,2,0.767223679
935,0,1,0,12,2,1498,2,1,23,1,0,2,0.937570332
921,0,1,3,18,4,1817,2,1,28,1,0,2,0.495091965
914,0,0,3,11,2,2142,4,2,28,1,0,2,0.830092157
949,1,0,3,18,2,1533,1,3,43,1,0,1,0.172960538
747,0,1,0,15,2,2511,0,1,23,0,0,2,0.099375534
761,0,1,3,15,4,5045,4,1,59,1,0,2,0.400238767
968,0,1,3,15,2,3568,4,1,54,0,0,3,0.086809598
637,0,1,3,24,2,1376,3,1,28,1,0,2,0.979538813
798,0,1,3,12,4,1258,1,1,22,0,0,1,0.791245927
875,0,0,0,12,2,3590,2,0,29,1,0,1,0.67746472
894,0,0,1,36,4,5800,2,0,34,1,0,2,0.265196082
969,0,0,3,42,2,7166,3,3,29,0,0,2,0.432362328
735,0,1,3,4,4,3380,3,1,37,1,0,2,0.445266489
890,0,0,3,28,1,7824,1,0,40,0,0,2,0.738447488
824,0,0,0,8,4,731,4,0,47,1,0,1,0.266121756
878,0,0,3,36,2,3595,4,0,28,1,0,2,0.709107373
869,0,0,3,36,2,7409,4,0,37,1,0,2,0.475536305
845,0,0,3,18,2,3422,4,0,47,1,0,2,0.722882207
999,1,0,0,45,2,1845,2,0,23,2,0,2,0.944119518
874,0,1,3,15,2,874,1,1,24,1,0,2,0.198655787
915,1,0,0,24,1,3161,2,0,31,0,0,2,0.138416011
850,1,0,0,12,2,709,4,0,57,1,0,1,0.942270038
592,0,1,1,24,3,1965,2,1,42,0,0,2,0.708458836
989,0,0,0,24,2,6579,0,0,29,2,0,3,0.46556584
641,1,1,0,18,2,750,0,1,27,1,0,0,0.815519731
843,1,1,3,18,2,1943,1,1,23,1,0,2,0.854048744
994,0,0,0,36,2,3959,0,0,30,1,0,3,0.151790284
648,1,1,3,12,2,1386,2,1,26,1,0,2,0.675015192
772,1,1,0,36,4,8065,2,1,25,1,0,3,0.518821913
987,0,0,2,42,0,6289,1,2,33,1,0,2,0.814949436
624,0,1,0,12,2,1858,1,1,22,0,0,2,0.670604427
901,1,0,0,16,4,2625,4,0,43,0,0,2,0.32983633
917,0,0,3,10,2,2848,2,0,32,1,0,2,0.934510375
837,0,1,3,12,2,886,2,1,21,1,0,2,0.575060418
840,0,0,3,24,4,2611,4,3,46,1,0,2,0.917669672
985,0,0,3,24,4,2028,3,0,30,1,0,1,0.029355286
681,0,1,3,6,2,1538,1,1,56,1,0,2,0.303909205
877,0,0,0,18,1,1940,1,0,36,2,0,3,0.72450981
909,0,1,3,15,3,3594,1,1,46,1,0,1,0.523632726
762,1,1,0,18,4,2124,2,1,24,0,0,2,0.010971862
879,1,0,0,9,2,1422,1,0,27,2,0,3,0.646056038
729,1,1,1,48,1,6416,4,1,59,0,0,2,0.282153189
796,0,1,3,9,2,2301,1,1,22,0,0,2,0.592819004
976,0,1,2,24,2,1258,2,1,57,1,0,1,0.525008305
913,0,1,1,30,2,2991,4,1,25,1,0,2,0.558647139
958,0,0,1,9,4,1154,4,0,37,1,0,1,0.728372488
723,1,1,0,12,2,1228,2,1,24,1,0,1,0.350234054
619,1,1,1,30,2,3441,2,1,21,0,0,2,0.675551969
961,0,0,3,6,4,1740,4,3,30,0,0,2,0.108945265
872,0,0,2,6,4,1343,4,0,46,1,1,2,0.39580517
776,1,1,0,24,2,1371,2,1,25,0,0,2,0.065778905
701,1,1,3,12,2,1123,2,1,29,0,0,1,0.287373835
