idx,credit_risk,sex,account_check_status,duration_in_month,credit_history,credit_amount,savings,present_employment_since,installment_as_income_perc,marriage,other_debtors,property,age_in_years,age>25,age>35,other_installment_plans,housing,number_of_existing_credits_at_this_bank,telephone,foreign_worker,job
102,0,0,1,36,3,2323,0,3,4,0,4,2,24,1,1,2,0,1,0,0,2
103,0,1,3,6,4,932,0,2,3,1,2,0,24,0,0,2,1,1,0,0,2
104,0,0,1,9,5,1919,0,3,4,0,3,2,35,0,0,2,0,1,1,0,2
105,0,0,3,12,3,2445,4,1,2,3,4,2,26,1,0,2,0,1,1,0,2
106,1,0,1,24,5,11938,0,2,2,0,3,2,39,1,0,2,1,2,1,0,3
107,1,0,3,18,1,6458,0,4,2,0,4,3,39,1,1,0,1,2,1,0,3
108,0,0,1,12,3,6078,0,3,2,0,2,2,32,1,1,2,1,1,0,0,2
109,0,1,0,24,3,7721,4,1,1,1,2,1,30,1,0,2,1,1,1,1,2
110,0,0,1,14,3,1410,2,4,1,3,2,0,35,1,0,2,1,1,1,0,2
111,0,0,1,6,4,1449,1,4,1,2,2,2,31,1,0,0,1,2,0,0,2
112,0,1,2,15,3,392,0,1,4,1,4,1,23,1,0,2,0,1,1,0,2
113,0,0,1,18,3,6260,0,3,3,0,3,0,28,0,0,2,0,1,0,0,1
114,1,1,3,36,5,7855,0,2,4,1,2,0,25,1,0,1,1,2,1,0,2
115,0,0,0,12,3,1680,2,4,3,3,1,0,35,0,0,2,1,1,0,0,2
116,0,0,3,48,5,3578,4,4,4,0,1,0,47,1,0,2,1,1,1,0,2
117,1,1,0,42,3,7174,4,3,4,1,3,2,30,1,1,2,1,1,1,0,3
118,0,1,0,10,5,2132,4,1,2,1,3,0,27,1,0,2,0,2,0,1,2
119,1,1,0,33,5,4281,2,2,1,1,4,2,23,1,0,2,1,2,0,0,2
120,0,0,1,12,5,2366,2,3,3,2,3,2,36,0,0,2,1,1,1,0,3
121,1,1,0,21,3,1835,0,2,3,1,2,0,25,1,1,2,1,2,1,0,2
122,0,1,3,24,5,3868,0,4,4,1,2,2,41,0,0,2,0,2,1,0,3
123,0,0,3,12,3,1768,0,2,3,0,2,0,24,1,1,2,0,1,0,0,1
124,0,0,2,10,5,781,0,4,4,0,4,3,63,0,0,2,2,2,1,0,2
125,1,1,1,18,3,1924,4,1,4,1,3,0,27,1,1,2,0,1,0,0,2
126,0,0,0,12,5,2121,0,2,4,0,2,1,30,1,0,2,1,2,0,0,2
127,0,0,0,12,3,701,0,2,4,3,2,0,40,1,0,2,1,1,0,0,1
128,1,0,1,12,3,639,0,2,4,0,2,2,30,1,1,2,1,1,0,0,2
129,0,0,1,12,5,1860,0,0,4,0,2,2,34,1,0,2,1,2,1,0,3
130,1,1,0,12,5,3499,0,2,3,1,2,0,29,1,0,2,1,2,0,0,2
131,0,1,1,48,3,8487,4,3,1,1,2,2,24,1,0,2,1,1,0,0,2
132,1,0,0,36,4,6887,0,2,4,0,3,1,29,0,0,1,1,1,1,0,2
133,0,0,3,15,3,2708,0,1,2,0,3,1,27,1,0,0,1,2,0,0,1
134,0,0,3,18,3,1984,0,2,4,0,4,3,47,1,0,0,2,2,0,0,2
135,0,1,3,60,3,10144,1,3,2,1,4,0,21,1,1,2,1,1,1,0,2
136,0,1,3,12,5,1240,4,4,4,1,2,0,38,0,0,2,1,2,1,0,2
137,0,0,3,27,4,8613,3,2,2,0,2,2,27,1,1,2,1,2,0,0,2
138,1,0,1,12,3,766,2,2,4,0,3,0,66,1,0,2,1,1,0,0,1
139,0,0,1,15,5,2728,4,3,4,0,2,0,35,1,1,0,1,3,1,0,2
140,0,1,2,12,3,1881,0,2,2,1,2,2,44,1,0,2,0,1,1,0,1
141,0,0,2,6,3,709,3,1,2,3,2,0,27,1,1,2,1,1,0,1,0
142,0,1,1,36,3,4795,0,1,4,1,1,3,30,1,0,2,1,1,1,0,3
143,0,0,0,27,3,3416,0,2,3,0,2,2,27,1,0,2,1,1,0,0,3
144,1,0,0,18,3,2462,0,2,2,0,2,2,22,1,0,2,1,1,0,0,2
145,0,1,3,21,5,2288,0,1,4,1,4,1,23,0,0,2,1,1,1,0,2
146,0,0,1,48,1,3566,1,3,4,0,2,2,30,0,0,2,1,1,0,0,2
147,0,1,0,6,5,860,0,4,1,1,4,3,39,1,0,2,1,2,1,0,2
148,0,1,3,12,5,682,1,3,4,1,3,2,51,1,1,2,1,2,1,0,2
149,0,0,0,36,5,5371,0,2,3,0,2,1,28,1,1,2,1,2,0,0,2
150,0,0,3,18,5,1582,3,4,4,0,4,2,46,1,0,2,1,2,0,0,2
151,0,0,3,6,3,1346,1,4,2,0,4,3,42,1,1,0,2,1,1,0,2
152,0,0,3,10,3,1924,0,2,1,0,4,1,38,1,1,2,1,1,1,1,2
153,0,0,2,36,3,5848,0,2,4,0,1,2,24,1,1,2,1,1,0,0,2
154,0,1,1,24,5,7758,3,4,2,1,4,3,29,0,0,2,0,1,0,0,2
155,0,0,1,24,4,6967,1,3,4,0,4,2,36,1,0,2,0,1,1,0,3
156,1,1,0,12,3,1282,0,2,2,1,4,2,20,1,1,2,0,1,0,0,2
157,0,0,0,9,5,1288,1,4,3,0,4,0,48,0,0,2,1,2,0,1,2
158,0,0,0,12,1,339,0,4,4,3,1,2,45,1,1,0,1,1,0,0,1
159,0,0,1,24,3,3512,1,3,2,0,3,2,38,1,1,0,1,2,1,0,2
160,0,0,3,6,5,1898,4,2,1,0,2,0,34,1,1,2,1,2,0,0,1
161,0,0,3,24,5,2872,1,4,3,0,4,0,36,1,0,2,1,1,1,0,2
162,0,1,3,18,5,1055,0,1,4,1,1,1,30,1,1,2,1,2,0,0,2
163,0,0,3,15,3,1262,2,3,4,0,3,1,36,1,0,2,1,2,1,0,2
164,0,0,1,10,3,7308,0,0,2,0,4,3,70,1,1,0,2,1,1,0,3
165,0,0,3,36,3,909,2,4,4,0,4,1,36,1,1,2,1,1,0,0,2
166,0,0,3,6,3,2978,2,2,1,0,2,2,32,1,1,2,1,1,1,0,2
167,1,1,0,18,3,1131,0,0,4,1,2,2,33,1,0,2,1,1,0,0,2
168,0,1,1,11,3,1577,3,1,4,1,1,0,20,1,0,2,1,1,0,0,2
169,0,1,3,24,3,3972,0,3,2,1,4,1,25,0,0,2,0,1,1,0,2
170,1,0,1,24,5,1935,0,4,4,2,4,0,31,0,0,2,1,2,1,0,2
171,1,0,0,15,0,950,0,4,4,0,3,2,33,1,0,2,0,2,0,0,2
172,0,1,3,12,3,763,0,2,4,1,1,0,26,1,0,2,1,1,1,0,2
173,1,1,1,24,4,2064,0,0,3,1,2,1,34,1,0,2,1,1,1,0,3
174,0,0,1,8,3,1414,0,2,4,0,2,0,33,1,0,2,1,1,0,1,2
175,1,0,0,21,4,3414,0,1,2,0,1,1,26,1,0,2,1,2,0,0,2
176,1,1,3,30,1,7485,4,0,4,1,1,0,53,1,0,0,1,1,1,0,3
177,0,0,0,12,3,2577,0,2,2,2,1,2,42,1,1,2,1,1,0,0,2
178,0,0,0,6,5,338,2,4,4,0,4,2,52,1,1,2,1,2,0,0,2
179,0,0,3,12,3,1963,0,3,4,0,2,2,31,1,1,2,0,2,1,0,3
180,0,0,0,21,5,571,0,4,4,0,4,0,65,1,0,2,1,2,0,0,2
181,1,0,3,36,4,9572,0,1,1,2,1,2,28,1,1,2,1,2,0,0,2
182,1,0,1,36,4,4455,0,2,2,2,2,0,30,1,0,1,1,2,1,0,3
183,1,0,0,21,1,1647,4,2,4,0,2,1,40,1,0,2,1,2,0,0,1
184,0,0,3,24,5,3777,3,2,4,0,4,0,50,1,1,2,1,1,1,0,2
185,1,0,1,18,5,884,0,4,4,0,4,2,36,1,1,0,1,1,1,0,2
186,0,0,3,15,5,1360,0,2,4,0,2,1,31,1,1,2,1,2,0,0,2
187,1,1,1,9,1,5129,0,4,2,1,4,3,74,1,0,0,2,1,1,0,3
188,0,0,1,16,5,1175,0,0,2,0,3,2,68,1,1,2,2,3,1,0,0
189,1,0,0,12,3,674,1,3,4,3,1,1,20,1,1,2,1,1,0,0,2
190,0,1,1,18,0,3244,0,2,1,1,4,2,33,0,0,0,1,2,1,0,2
191,1,0,3,24,3,4591,3,2,2,0,3,1,54,1,0,2,1,3,1,0,3
192,1,0,1,48,0,3844,1,3,4,0,4,3,34,1,1,2,2,1,0,0,1
193,1,0,1,27,3,3915,0,2,4,0,2,2,36,1,0,2,1,1,1,0,2
194,0,0,3,6,3,2108,0,3,2,3,2,0,29,1,1,2,0,1,0,0,2
195,1,0,1,45,3,3031,1,2,4,0,4,1,21,1,0,2,0,1,0,0,2
196,1,1,1,9,5,1501,0,4,2,1,3,2,34,0,0,2,1,2,1,0,3
197,0,1,3,6,5,1382,0,2,1,1,1,2,28,1,0,2,1,2,1,0,2
198,1,1,1,12,3,951,1,1,4,1,4,2,27,1,0,0,0,4,0,0,2
199,0,0,1,24,3,2760,4,4,4,0,4,3,36,1,0,0,2,1,1,0,2
200,1,0,1,18,4,4297,0,4,4,2,3,3,40,1,1,2,1,1,1,0,3
201,0,0,3,9,5,936,2,4,4,0,2,2,52,1,1,2,1,2,1,0,2
202,0,0,0,12,3,1168,0,2,4,3,3,0,27,1,1,2,1,1,0,0,1
203,0,0,3,27,4,5117,0,3,3,0,4,2,26,1,0,2,1,2,0,0,2
204,1,0,0,12,3,902,0,3,4,3,4,1,21,1,0,2,0,1,0,0,2
205,0,0,3,12,5,1495,0,4,4,0,1,0,38,0,0,2,1,2,0,0,1
206,0,0,0,30,5,10623,0,4,3,0,4,3,38,1,1,2,2,3,1,0,3
207,0,0,3,12,5,1935,0,4,4,0,4,0,43,1,1,2,1,3,1,0,2
208,0,0,1,12,5,1424,0,3,4,0,3,1,26,1,1,2,1,1,0,0,2
209,0,0,0,24,3,6568,0,2,2,3,2,2,21,1,0,1,1,1,0,0,1
210,0,0,3,12,3,1413,3,3,3,0,2,1,55,0,0,2,1,1,0,1,2
211,0,0,3,9,5,3074,4,2,1,0,2,0,33,1,1,2,1,2,0,0,2
212,0,1,3,36,3,3835,4,4,2,1,4,0,45,1,0,2,1,1,1,0,1
213,1,0,0,27,0,5293,0,0,2,0,4,1,50,1,1,1,1,2,1,0,2
214,1,0,2,30,4,1908,0,4,4,0,4,0,66,1,1,2,1,1,1,0,3
215,0,0,3,36,5,3342,4,4,4,0,2,2,51,1,1,2,1,1,1,0,2
216,0,1,1,6,5,932,4,3,1,1,3,1,39,1,1,2,1,2,0,0,1
217,0,0,0,18,0,3104,0,3,3,0,1,1,31,1,1,0,1,1,1,0,2
218,0,0,2,36,3,3913,0,2,2,0,2,0,23,1,0,2,1,1,1,0,2
219,0,0,0,24,3,3021,0,2,2,2,2,0,24,0,0,2,0,1,0,0,1
220,0,1,3,10,3,1364,0,2,2,1,4,2,64,0,0,2,1,1,1,0,2
221,0,0,1,12,3,625,0,1,4,3,1,0,26,1,1,0,1,1,0,0,1
222,0,1,0,12,3,1200,4,2,4,1,4,1,23,1,0,0,0,1,1,0,2
223,0,0,3,12,3,707,0,2,4,0,2,0,30,0,0,0,1,2,0,0,2
224,0,0,3,24,4,2978,4,2,4,0,4,0,32,1,0,2,1,2,1,0,2
225,0,0,3,15,3,4657,0,2,3,0,2,2,30,1,0,2,1,1,1,0,2
226,0,0,3,36,0,2613,0,2,4,0,2,2,27,1,0,2,1,2,0,0,2
227,1,0,1,48,3,10961,3,3,1,0,2,3,27,1,0,0,1,2,1,0,2
228,1,0,0,12,3,7865,0,4,4,0,4,3,53,1,0,2,2,1,1,0,3
229,1,0,3,9,3,1478,0,3,4,0,2,2,22,1,1,2,1,1,0,0,2
230,0,0,0,24,3,3149,0,1,4,0,1,3,22,0,0,0,2,1,0,0,2
231,1,0,2,36,3,4210,0,2,4,0,2,2,26,0,0,2,1,1,0,0,2
232,0,0,3,9,3,2507,2,4,2,0,4,3,51,1,0,2,2,1,0,0,1
233,0,0,3,12,3,2141,1,3,3,0,1,3,35,1,1,2,1,1,0,0,2
234,0,0,1,18,3,866,0,2,4,3,2,0,25,1,0,2,1,1,0,0,1
235,0,0,3,4,5,1544,0,3,2,0,1,0,42,0,0,2,1,3,0,0,1
236,1,0,0,24,3,1823,0,0,4,0,2,2,30,1,1,1,1,1,0,0,3
237,1,0,1,6,3,14555,4,0,1,0,2,1,23,1,0,2,1,1,1,0,0
238,1,0,1,21,3,2767,1,4,4,2,2,2,61,0,0,0,0,2,0,0,1
239,0,1,3,12,5,1291,0,2,4,1,2,1,35,1,1,2,1,2,0,0,2
240,0,0,0,30,3,2522,0,4,1,0,3,1,39,1,0,2,1,1,0,0,2
241,1,1,0,24,3,915,4,4,4,1,2,2,29,1,1,0,1,1,0,0,2
242,0,0,3,6,3,1595,0,3,3,0,2,1,51,1,0,2,1,1,0,0,2
243,1,0,0,48,0,4605,0,4,3,0,4,3,24,1,1,2,2,2,0,0,2
244,0,1,3,12,5,1185,0,2,3,1,2,0,27,0,0,2,1,2,0,0,2
245,0,1,3,12,1,3447,2,2,4,1,3,0,35,1,0,2,1,1,0,0,1
246,0,0,3,24,3,1258,0,3,4,0,1,0,25,1,0,2,1,1,1,0,2
247,0,0,3,12,5,717,0,4,4,0,4,0,52,0,0,2,1,3,0,0,2
248,0,0,3,6,0,1204,1,2,4,0,1,3,35,1,1,0,0,1,0,1,2
249,0,0,2,24,3,1925,0,2,2,0,2,0,26,1,0,2,1,1,0,0,2
250,1,1,3,18,3,433,0,0,3,1,4,0,22,1,0,2,0,1,0,0,2
251,0,1,0,6,5,666,3,3,3,1,4,0,39,0,0,2,1,2,1,0,1
252,0,1,2,12,3,2251,0,2,1,1,2,2,46,1,1,2,1,1,0,0,1
253,1,1,1,30,3,2150,0,2,4,1,2,3,24,1,1,0,1,1,0,0,2
254,0,0,3,24,4,4151,1,2,2,0,3,1,35,0,0,2,1,2,0,0,2
255,0,0,1,9,3,2030,4,3,2,0,1,2,24,1,0,2,1,1,1,0,2
256,0,0,1,60,4,7418,4,2,1,0,1,0,27,0,0,2,1,1,0,0,1
257,0,0,3,24,5,2684,0,2,4,0,2,0,35,1,0,2,1,2,0,0,1
258,1,0,0,12,1,2149,0,2,4,2,1,3,29,1,0,2,2,1,0,0,2
259,0,1,3,15,3,3812,1,1,1,1,4,2,23,1,0,2,1,1,1,0,2
260,0,1,3,11,5,1154,1,0,4,1,4,0,57,0,0,2,1,3,0,0,1
261,0,0,0,12,3,1657,0,2,2,0,2,0,27,1,1,2,1,1,0,0,2
262,0,1,0,24,3,1603,0,4,4,1,4,2,55,1,0,2,1,1,0,0,2
263,0,0,0,18,5,5302,0,4,2,0,4,3,36,1,1,2,2,3,1,0,3
264,0,1,3,12,5,2748,0,4,2,1,4,3,57,1,1,0,2,3,0,0,1
265,0,0,3,10,5,1231,0,4,3,0,4,0,32,1,1,2,1,2,0,1,1
266,1,0,1,15,3,802,0,4,4,0,3,2,37,1,0,2,1,1,0,0,2
267,0,0,3,36,5,6304,4,4,4,0,4,0,36,1,1,2,1,2,0,0,2
268,0,1,3,24,3,1533,0,1,4,1,3,2,38,1,1,1,1,1,1,0,2
269,1,0,0,14,3,8978,0,4,1,2,4,1,45,1,1,2,1,1,1,1,3
270,0,0,3,24,3,999,4,4,4,0,2,2,25,1,1,2,1,2,0,0,2
271,0,0,3,18,3,2662,4,3,4,0,3,1,32,0,0,2,1,1,0,1,2
272,0,1,3,12,5,1402,2,3,3,1,4,2,37,1,0,2,0,1,1,0,2
273,0,0,1,48,1,12169,4,0,4,0,4,3,36,1,1,2,2,1,1,0,3
274,1,0,1,48,3,3060,0,3,4,0,4,0,28,1,1,2,1,2,0,0,2
275,1,0,0,30,3,11998,0,1,1,2,1,3,34,1,0,2,1,1,1,0,1
276,0,0,3,9,3,2697,0,2,1,0,2,0,32,1,0,2,1,1,0,0,2
277,0,1,3,18,5,2404,0,2,2,1,2,2,26,1,0,2,1,2,0,0,2
278,0,0,0,12,3,1262,4,4,2,2,4,1,49,1,0,2,1,1,1,0,1
279,1,1,3,6,3,4611,0,1,1,1,4,1,32,1,1,2,1,1,0,0,2
280,0,0,3,24,3,1901,1,2,4,0,4,2,29,1,0,2,0,1,1,0,3
281,0,0,3,15,5,3368,3,4,3,0,4,3,23,1,0,2,0,2,1,0,2
282,0,0,3,12,3,1574,0,2,4,0,2,0,50,0,0,2,1,1,0,0,2
283,0,0,2,18,1,1445,4,3,4,0,4,2,49,1,1,0,1,1,0,0,1
284,0,0,3,15,5,1520,4,4,4,0,4,1,63,1,1,2,1,1,0,0,2
285,0,0,1,24,5,3878,1,1,4,2,2,2,37,1,1,2,1,1,1,0,2
286,0,1,0,47,3,10722,0,1,1,1,1,0,35,1,1,2,1,1,1,0,1
287,0,0,0,48,3,4788,0,3,4,0,3,1,26,1,0,2,1,1,0,0,2
288,0,0,1,48,4,7582,1,0,2,0,4,3,31,1,0,2,2,1,1,0,3
289,0,1,1,12,3,1092,0,2,4,1,4,0,49,1,0,2,1,2,1,0,2
290,1,0,0,24,4,1024,0,1,4,3,4,0,48,1,1,1,1,1,0,0,2
291,0,0,3,12,3,1076,0,2,2,3,2,0,26,1,1,2,1,1,1,1,2
292,1,0,1,36,3,9398,0,1,1,3,4,2,28,1,0,2,0,1,1,0,3
293,0,1,0,24,5,6419,0,4,2,1,4,3,44,1,0,2,2,2,1,0,3
294,0,0,2,42,5,4796,0,4,4,0,4,3,56,1,1,2,2,1,0,0,2
295,0,0,3,48,5,7629,4,4,4,2,2,2,46,1,1,0,1,2,0,0,3
296,1,1,1,48,3,9960,0,1,1,1,2,2,26,1,1,2,1,1,1,0,2
297,0,1,3,12,3,4675,4,1,1,1,4,2,20,1,0,2,0,1,0,0,2
298,0,0,3,10,3,1287,4,4,4,0,2,1,45,0,0,2,1,1,0,1,1
299,0,0,3,18,3,2515,0,2,3,0,4,0,43,1,1,2,1,1,1,0,2
300,0,0,1,21,5,2745,3,3,3,0,2,2,32,1,1,2,1,2,1,0,2
301,0,1,3,6,3,672,0,0,1,1,4,0,54,1,0,2,1,1,1,0,0
302,1,1,1,36,0,3804,0,2,4,1,1,2,42,1,1,2,1,1,1,0,2
303,1,0,2,24,5,1344,4,3,4,0,2,0,37,1,1,0,1,2,0,0,1
304,0,0,0,10,5,1038,0,3,4,0,3,1,49,1,1,2,1,2,1,0,2
305,1,0,3,48,5,10127,2,2,2,0,2,3,44,1,1,0,2,1,0,0,2
306,0,0,3,6,3,1543,3,2,4,2,2,0,33,1,1,2,1,1,0,0,2
